OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
2024-174D,2024-174D,2024-10-09T13:03:00.085536,15.16493161,0.0013883,97.4538,288.5760,226.4955,133.5125,0,U,61241,999,217,7.2512E-04,1.4106E-04,0
2024-174E,2024-174E,2024-10-09T13:02:26.602080,15.16468247,0.0014841,97.4581,288.5842,227.7063,132.2913,0,U,61242,999,216,6.29E-04,1.222E-04,0
STARLINK-11300 [DTC],2024-175A,2024-10-09T14:00:01.000224,15.76793367,0.0001227,53.1573,82.1949,91.0102,246.1736,0,U,61243,999,332,-3.6536E-04,-6.02E-04,0
STARLINK-11276 [DTC],2024-175B,2024-10-09T14:00:01.000224,15.76776050,0.0000784,53.1613,82.1392,101.1777,263.7868,0,U,61244,999,317,-5.8944E-04,-9.6237E-04,0
STARLINK-11280 [DTC],2024-175C,2024-10-09T14:00:01.000224,15.76986866,0.0001091,53.1639,82.0260,100.4606,320.0688,0,U,61245,999,344,-3.2858E-03,-5.13086E-03,0
STARLINK-11308 [DTC],2024-175D,2024-10-09T14:00:01.000224,15.76832185,0.0001431,53.1595,82.0822,100.0254,292.6174,0,U,61246,999,318,-8.0324E-04,-1.30718E-03,0
STARLINK-11305 [DTC],2024-175E,2024-10-09T14:00:01.000224,15.76761834,0.0001253,53.1623,81.9688,88.6817,359.5067,0,U,61247,999,348,-7.1599E-04,-1.16418E-03,0
STARLINK-11317 [DTC],2024-175F,2024-10-09T14:00:01.000224,15.76716514,0.0000728,53.1638,81.9115,79.7977,36.1277,0,U,61248,999,328,1.3758E-04,2.1908E-04,0
STARLINK-11293 [DTC],2024-175G,2024-10-09T14:00:01.000224,15.78117512,0.000102,53.1645,81.8588,63.2444,78.8109,0,U,61249,999,350,-6.4203E-03,-9.95726E-03,0
STARLINK-11334 [DTC],2024-175H,2024-10-09T14:00:01.000224,15.81701227,0.0001165,53.1646,81.8018,44.5601,125.1275,0,U,61250,999,317,1.4354E-03,3.04244E-03,0
STARLINK-11319 [DTC],2024-175J,2024-10-09T14:00:01.000224,15.80494289,0.0000886,53.1644,81.7659,56.5641,130.5801,0,U,61251,999,349,-5.7311E-03,-9.91682E-03,0
STARLINK-11318 [DTC],2024-175K,2024-10-09T14:00:01.000224,15.81666051,0.0000716,53.1643,81.7261,64.9281,141.2944,0,U,61252,999,318,-5.432E-03,-9.92607E-03,0
STARLINK-11311 [DTC],2024-175L,2024-10-09T14:00:01.000224,15.82799158,0.0001089,53.1644,81.6905,71.8557,151.5070,0,U,61253,999,345,-5.1575E-03,-9.94256E-03,0
STARLINK-11306 [DTC],2024-175M,2024-10-09T14:00:01.000224,15.83902549,0.0000933,53.1644,81.6588,84.1480,154.4658,0,U,61254,999,349,-4.899E-03,-9.95365E-03,0
STARLINK-11313 [DTC],2024-175N,2024-10-09T14:00:01.000224,15.83806488,0.0000504,53.1641,81.6316,51.4568,200.4088,0,U,61255,999,328,-1.0644E-04,-2.4763E-04,0
STARLINK-32431,2024-175P,2024-10-09T14:00:01.000224,15.77681922,0.0000934,53.1634,81.7715,62.7106,120.3674,0,U,61256,999,349,-5.234E-03,-8.13657E-03,0
STARLINK-32432,2024-175Q,2024-10-09T14:00:01.000224,15.77745941,0.0001011,53.1634,81.7771,69.0066,111.3782,0,U,61257,999,349,-5.1434E-03,-8.02933E-03,0
STARLINK-32382,2024-175R,2024-10-09T14:00:01.000224,15.77283602,0.0000953,53.1632,81.7429,67.5207,129.2389,0,U,61258,999,324,-5.7391E-03,-8.70389E-03,0
STARLINK-32435,2024-175S,2024-10-09T14:00:01.000224,15.77542108,0.0000913,53.1635,81.7650,63.5757,122.9255,0,U,61259,999,345,-5.3986E-03,-8.32129E-03,0
STARLINK-32474,2024-175T,2024-10-09T14:00:01.000224,15.77531292,0.0000988,53.1636,81.7605,66.8244,121.7576,0,U,61260,999,345,-5.4246E-03,-8.35423E-03,0
STARLINK-32447,2024-175U,2024-10-09T14:00:01.000224,15.77307929,0.0000893,53.1636,81.7479,65.0164,129.5742,0,U,61261,999,349,-5.7016E-03,-8.66078E-03,0
STARLINK-32446,2024-175V,2024-10-09T14:00:01.000224,15.77417891,0.0000878,53.1636,81.7542,65.0994,126.5456,0,U,61262,999,350,-5.5747E-03,-8.52396E-03,0
2024-174F,2024-174F,2024-10-09T13:29:26.740320,15.58823873,0.0169706,97.4330,289.4446,337.5466,21.8421,0,U,61263,999,222,1.3422E-03,2.08487E-03,1.3626E-05
2024-174G,2024-174G,2024-10-09T12:44:27.173184,15.66304351,0.0147669,97.4291,289.4831,337.0536,22.4169,0,U,61443,999,203,2.6259E-03,4.95327E-03,7.3998E-05
SHIJIAN-19 (SJ-19),2024-177A,2024-10-09T12:08:09.161376,15.77571191,0.0007028,41.6006,84.3534,26.5396,333.5810,0,U,61444,999,205,4.9426E-05,8.078E-05,0
CZ-2D R/B,2024-177B,2024-10-09T11:35:19.011552,15.85066428,0.0019586,41.3915,83.8517,337.6787,22.3206,0,U,61445,999,191,1.4488E-03,3.73039E-03,0
CREW DRAGON 9,2024-178A,2024-10-09T13:00:16.333344,15.49541134,0.0008027,51.6395,108.9836,61.2002,349.0996,0,U,61447,999,152,6.8853E-04,3.8437E-04,0
VULCAN CENTAUR R/B,2024-179A,2024-10-04T11:40:56.159904,15.23529867,0.0004,30.0000,357.3088,321.8000,177.5900,0,U,61448,999,0,0,1.48E-06,0
CYSAT-1,1998-067WZ,2024-10-09T12:46:17.797152,15.50681434,0.0009421,51.6370,109.0234,78.0705,282.1340,0,U,61501,999,21,2.1735E-03,1.28905E-03,0
DORA,1998-067XA,2024-10-09T12:46:20.737344,15.50717505,0.0006853,51.6371,109.0230,71.9232,288.2503,0,U,61502,999,20,3.519E-03,2.11298E-03,0
