OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051CN,2024-10-09T13:33:46.977120,14.67015417,0.0012701,86.3868,201.4479,42.7315,130.9001,0,U,34079,999,82645,6.2483E-03,3.5223E-04,0
IRIDIUM 33 DEB,1997-051CV,2024-10-09T13:10:21.248256,14.84557308,0.002013,86.3721,223.8402,66.2063,340.0213,0,U,34086,999,2906,1.6578E-02,1.43098E-03,0
IRIDIUM 33 DEB,1997-051CX,2024-10-09T10:14:01.530240,14.66661306,0.0002973,86.3959,223.9423,0.3747,138.9020,0,U,34088,999,82395,1.2771E-02,7.1716E-04,0
IRIDIUM 33 DEB,1997-051DA,2024-10-08T08:22:08.333184,14.53670758,0.0054696,86.3566,259.0467,358.5457,1.5581,0,U,34091,999,81572,1.0906E-01,4.89851E-03,0
IRIDIUM 33 DEB,1997-051DG,2024-10-09T04:40:52.420224,14.29262804,0.0086634,86.2077,190.2057,317.3434,42.1052,0,U,34097,999,80970,9.3049E-03,2.4715E-04,0
IRIDIUM 33 DEB,1997-051DM,2024-10-09T12:43:46.248096,14.74492439,0.0056871,86.3558,293.1535,177.8466,301.5932,0,U,34102,999,81161,2.8828E-02,2.02071E-03,0
IRIDIUM 33 DEB,1997-051DR,2024-10-08T11:14:55.572000,14.87748752,0.0009692,86.3471,173.6108,11.0807,162.3063,0,U,34106,999,82734,6.3586E-02,6.18471E-03,0
IRIDIUM 33 DEB,1997-051DS,2024-10-09T06:35:34.315008,14.96674936,0.0005844,86.3809,180.4615,19.1144,126.7725,0,U,34107,999,82843,1.5715E-02,1.8387E-03,0
IRIDIUM 33 DEB,1997-051DY,2024-10-09T02:23:46.794624,14.37207634,0.0060933,86.2185,163.1346,65.5485,295.2052,0,U,34145,999,81454,4.4685E-03,1.362E-04,0
IRIDIUM 33 DEB,1997-051DZ,2024-10-09T04:51:12.850848,14.44235281,0.0028379,86.2898,178.8286,210.3026,268.8856,0,U,34146,999,81895,5.2129E-03,1.8038E-04,0
IRIDIUM 33 DEB,1997-051EN,2024-10-08T21:17:31.094016,14.36551567,0.0026121,86.3525,231.1275,256.2636,103.5653,0,U,34159,999,81783,2.4224E-03,7.162E-05,0
IRIDIUM 33 DEB,1997-051ES,2024-10-09T05:16:28.548768,14.43418796,0.0023673,86.3348,188.8352,118.4856,0.2261,0,U,34350,999,82092,2.1742E-03,7.387E-05,0
IRIDIUM 33 DEB,1997-051FA,2024-10-08T23:20:12.283296,15.45803688,0.0021279,86.2428,150.0022,91.7047,338.7646,0,U,34358,999,82671,2.117E-02,1.124385E-02,0
IRIDIUM 33 DEB,1997-051FJ,2024-10-09T07:58:45.173856,14.47262664,0.0024738,86.3715,235.0389,130.6049,21.2401,0,U,34366,999,81954,6.8998E-03,2.5413E-04,0
IRIDIUM 33 DEB,1997-051FT,2024-10-09T04:12:04.639680,14.16533531,0.0105479,86.4352,355.7894,52.0835,337.6118,0,U,34375,999,80627,2.2221E-03,4.691E-05,0
IRIDIUM 33 DEB,1997-051FU,2024-10-09T12:02:44.433024,14.51462330,0.0029735,86.3082,197.7436,178.1798,181.9522,0,U,34376,999,81754,5.3541E-03,2.1569E-04,0
IRIDIUM 33 DEB,1997-051GB,2024-10-09T05:37:39.104832,14.72349245,0.0012101,86.4072,206.4157,173.0363,340.5908,0,U,34486,999,82615,1.0378E-02,6.6314E-04,0
IRIDIUM 33 DEB,1997-051GC,2024-10-09T13:16:24.174048,14.42084298,0.0033691,86.3511,196.9138,107.3880,11.9895,0,U,34487,999,82076,1.0066E-03,3.348E-05,0
IRIDIUM 33 DEB,1997-051GD,2024-10-08T09:15:24.912000,14.80619730,0.001791,86.3404,149.4322,112.9142,247.3972,0,U,34488,999,82785,4.5778E-02,3.71433E-03,0
IRIDIUM 33 DEB,1997-051GH,2024-10-09T01:37:48.212832,14.10359516,0.0231606,86.4912,145.9590,168.2009,347.0651,0,U,34492,999,78969,1.3341E-02,3.0534E-04,0
IRIDIUM 33 DEB,1997-051GN,2024-10-09T08:13:07.819968,14.24930049,0.008098,86.2785,235.3442,280.3368,232.8406,0,U,34497,999,80762,4.5362E-03,1.0994E-04,0
IRIDIUM 33 DEB,1997-051GU,2024-10-09T12:55:32.978496,15.01634292,0.0007478,86.2986,113.0619,282.2029,77.8366,0,U,34503,999,83033,5.7945E-03,7.5951E-04,0
IRIDIUM 33 DEB,1997-051GZ,2024-10-09T12:23:11.186016,14.33050464,0.0072456,86.3684,283.7982,135.8109,224.8906,0,U,34508,999,81148,3.6349E-03,1.0277E-04,0
IRIDIUM 33 DEB,1997-051HN,2024-10-09T07:21:36.469440,14.55071218,0.0003114,86.3843,218.3867,347.5867,12.5263,0,U,34521,999,82207,7.7532E-03,3.3589E-04,0
IRIDIUM 33 DEB,1997-051HS,2024-10-09T14:44:53.255328,14.40842942,0.0007423,86.3750,229.6082,72.5857,100.9172,0,U,34525,999,81903,1.8303E-03,5.884E-05,0
IRIDIUM 33 DEB,1997-051HW,2024-10-09T08:06:00.409536,14.39744718,0.0006143,86.3684,218.2234,151.0969,209.0572,0,U,34529,999,81961,7.9046E-04,2.495E-05,0
