OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BN,2024-10-09T12:53:37.395168,15.02437075,0.0083627,74.0450,314.3139,106.0386,10.5750,0,U,33821,999,68505,2.0184E-03,2.895E-04,0
COSMOS 2251 DEB,1993-036BP,2024-10-09T05:20:32.462880,14.08931831,0.0162169,74.0776,229.7618,21.9410,99.1540,0,U,33822,999,79994,1.0756E-02,2.1036E-04,0
COSMOS 2251 DEB,1993-036BQ,2024-10-09T03:43:30.470592,13.97287869,0.0212311,73.8124,181.2974,20.2627,95.5204,0,U,33823,999,79605,4.6285E-03,7.835E-05,0
COSMOS 2251 DEB,1993-036BR,2024-10-09T14:13:03.144000,15.20647116,0.0026671,74.0000,221.3879,79.4187,93.1708,0,U,33824,999,83560,9.5432E-03,2.17714E-03,0
COSMOS 2251 DEB,1993-036BS,2024-10-08T21:35:53.951136,14.60002390,0.0099943,73.9886,138.1950,208.7485,163.4359,0,U,33825,999,82587,4.4512E-03,2.2959E-04,0
COSMOS 2251 DEB,1993-036BT,2024-10-09T00:40:37.360416,14.42929009,0.0094617,74.0644,132.4461,287.8169,229.7773,0,U,33826,999,81551,7.4926E-03,2.6517E-04,0
COSMOS 2251 DEB,1993-036BV,2024-10-09T12:20:35.047392,14.41980162,0.0028031,74.0484,315.0091,137.9193,338.7912,0,U,33828,999,82120,1.4822E-03,4.861E-05,0
COSMOS 2251 DEB,1993-036BX,2024-10-09T12:14:51.463104,14.68938847,0.0047892,74.0379,347.1595,222.0911,250.1675,0,U,33830,999,83150,2.5827E-03,1.539E-04,0
COSMOS 2251 DEB,1993-036BZ,2024-10-09T11:55:31.162080,14.51965438,0.0026533,74.0575,304.1946,79.4640,45.9775,0,U,33832,999,82173,3.2614E-03,1.3225E-04,0
COSMOS 2251 DEB,1993-036CB,2024-10-09T03:33:40.847616,15.04372644,0.0025844,74.0594,168.5122,324.3119,191.5945,0,U,33834,999,83832,7.3623E-03,1.05E-03,0
COSMOS 2251 DEB,1993-036CC,2024-10-09T12:41:51.655776,14.55837023,0.0061981,74.0609,198.4873,1.4298,171.6109,0,U,33835,999,82527,3.7333E-03,1.6812E-04,0
COSMOS 2251 DEB,1993-036CD,2024-10-09T12:41:35.750400,14.68458255,0.0031528,74.0038,19.1200,337.5066,33.6931,0,U,33836,999,57762,3.4851E-03,2.0366E-04,0
COSMOS 2251 DEB,1993-036CE,2024-10-09T00:37:35.539392,14.49044629,0.0034586,74.0127,143.7273,111.1135,249.3727,0,U,33837,999,82567,1.1654E-03,4.432E-05,0
COSMOS 2251 DEB,1993-036CF,2024-10-09T08:14:31.887168,14.46123666,0.0026034,74.0387,232.7465,101.5477,20.3457,0,U,33838,999,82356,2.4023E-03,8.6E-05,0
COSMOS 2251 DEB,1993-036CG,2024-10-09T11:40:16.016736,14.62312216,0.0086733,74.0409,310.0845,173.6171,306.4251,0,U,33839,999,83300,1.0981E-03,5.824E-05,0
COSMOS 2251 DEB,1993-036CJ,2024-10-09T13:16:09.914592,14.36837566,0.0020434,74.0407,347.7108,180.3601,299.6957,0,U,33841,999,81995,9.1019E-04,2.671E-05,0
COSMOS 2251 DEB,1993-036CK,2024-10-09T10:59:11.964768,14.41067493,0.0046724,74.0338,295.6017,150.7535,209.6252,0,U,33842,999,82149,1.4476E-03,4.697E-05,0
COSMOS 2251 DEB,1993-036CL,2024-10-09T14:08:15.831168,15.10940787,0.0084364,73.9660,33.6304,292.2625,66.9636,0,U,33843,999,82867,9.2446E-03,1.71542E-03,0
COSMOS 2251 DEB,1993-036CM,2024-10-09T13:52:24.434976,14.31944853,0.0050427,74.0663,115.3920,245.7524,169.8515,0,U,33844,999,81578,1.436E-03,3.879E-05,0
COSMOS 2251 DEB,1993-036CR,2024-10-09T14:25:36.442272,14.39153817,0.0046657,74.0333,73.4844,237.6065,203.3029,0,U,33848,999,81645,3.9459E-03,1.2369E-04,0
COSMOS 2251 DEB,1993-036CT,2024-10-09T06:41:04.015680,14.88723500,0.0024034,74.0048,12.1287,266.6248,93.2183,0,U,33890,999,82994,1.2897E-02,1.23289E-03,0
COSMOS 2251 DEB,1993-036CV,2024-10-08T22:32:12.248160,14.20939559,0.0118909,73.8042,164.8890,271.8965,99.3902,0,U,33892,999,80857,2.8274E-03,6.553E-05,0
COSMOS 2251 DEB,1993-036CX,2024-10-09T02:05:34.982016,13.18938735,0.0585708,73.7647,292.6181,272.8797,80.5441,0,U,33894,999,75037,6.1043E-03,5.897E-05,0
COSMOS 2251 DEB,1993-036CZ,2024-10-08T20:08:48.793632,14.16659091,0.0128436,73.7696,215.8879,103.8960,320.1846,0,U,33896,999,80646,3.6128E-03,7.802E-05,0
COSMOS 2251 DEB,1993-036DC,2024-10-09T10:35:19.255776,14.55551280,0.0063873,74.0558,182.4614,354.1505,120.4967,0,U,33899,999,82579,4.3545E-03,1.9532E-04,0
COSMOS 2251 DEB,1993-036DD,2024-10-09T14:16:25.898016,14.55127977,0.0050292,74.0183,95.7241,351.7499,75.2599,0,U,33900,999,82786,1.4618E-03,6.397E-05,0
COSMOS 2251 DEB,1993-036DE,2024-10-09T12:29:29.930784,14.82202375,0.0069719,73.7785,212.4479,60.7324,300.0797,0,U,33901,999,83088,6.1485E-03,5.1484E-04,0
COSMOS 2251 DEB,1993-036DJ,2024-10-09T07:48:58.946400,14.32578307,0.0061077,73.8900,29.9254,4.0162,27.8025,0,U,33905,999,81531,3.6447E-03,1.0087E-04,0
COSMOS 2251 DEB,1993-036DK,2024-10-09T11:08:25.416384,14.47088924,0.0040412,74.0337,51.4888,193.7494,230.7026,0,U,33906,999,81774,1.0603E-02,3.9235E-04,0
COSMOS 2251 DEB,1993-036DL,2024-10-09T04:57:17.949600,14.22866907,0.0127967,74.0723,89.8198,253.6913,281.7606,0,U,33907,999,80451,9.4152E-03,2.3053E-04,0
COSMOS 2251 DEB,1993-036DM,2024-10-09T13:39:35.151840,14.01690794,0.0238306,73.8394,244.5346,345.3046,14.1236,0,U,33908,999,79445,1.0124E-02,1.9707E-04,0
COSMOS 2251 DEB,1993-036DQ,2024-10-09T09:53:54.170592,14.60414020,0.002077,74.0963,269.3716,325.7408,184.0611,0,U,33911,999,82342,8.6867E-03,4.2434E-04,0
COSMOS 2251 DEB,1993-036DR,2024-10-09T10:34:46.911072,14.47482774,0.000937,74.0358,276.0577,96.4921,55.3033,0,U,33912,999,82226,4.0605E-03,1.4933E-04,0
COSMOS 2251 DEB,1993-036DS,2024-10-09T09:52:21.978336,14.45511295,0.0047911,74.0346,266.4097,115.6443,36.2639,0,U,33913,999,82246,2.3513E-03,8.393E-05,0
COSMOS 2251 DEB,1993-036DT,2024-10-09T14:24:01.696032,13.71187389,0.0306526,74.0933,1.9884,204.4788,274.9814,0,U,33914,999,78197,2.5733E-03,3.196E-05,0
COSMOS 2251 DEB,1993-036DU,2024-10-09T13:58:04.372320,14.32950202,0.0109977,74.0429,99.4852,296.5524,123.9543,0,U,33915,999,81605,1.5461E-03,4.497E-05,0
COSMOS 2251 DEB,1993-036DV,2024-10-09T13:48:18.605376,13.67902031,0.0327213,74.0552,25.3482,292.2645,76.0549,0,U,33916,999,78070,1.8087E-03,2.202E-05,0
COSMOS 2251 DEB,1993-036DW,2024-10-09T13:51:55.038240,13.67426543,0.0337446,74.1066,105.2458,307.0816,49.9884,0,U,33917,999,77862,1.6093E-03,1.986E-05,0
COSMOS 2251 DEB,1993-036DY,2024-10-09T14:14:12.722784,15.02677128,0.0005676,74.0329,41.5165,241.2952,118.7666,0,U,33919,999,82994,1.1868E-02,1.62084E-03,0
COSMOS 2251 DEB,1993-036DZ,2024-10-08T09:15:19.788480,14.48760490,0.0041074,74.0652,30.7015,149.7838,210.5703,0,U,33920,999,81859,4.1088E-02,1.60507E-03,0
COSMOS 2251 DEB,1993-036EB,2024-10-09T14:38:52.086048,14.47022539,0.0021729,74.0487,231.0544,88.6066,84.4518,0,U,33922,999,82364,1.3686E-03,4.971E-05,0
COSMOS 2251 DEB,1993-036ED,2024-10-09T07:02:31.792128,13.49244750,0.0406867,73.9133,240.0055,353.7633,5.8488,0,U,33924,999,76944,6.8093E-03,7.126E-05,0
COSMOS 2251 DEB,1993-036EH,2024-10-09T00:39:55.074528,14.45769443,0.0062971,73.9256,140.7722,170.9526,189.2783,0,U,33928,999,82430,1.1183E-03,4.037E-05,0
COSMOS 2251 DEB,1993-036EK,2024-10-09T12:47:59.895168,14.83944108,0.001114,74.0135,205.3150,259.0015,274.4220,0,U,33930,999,82443,1.2379E-02,1.04608E-03,0
COSMOS 2251 DEB,1993-036EL,2024-10-09T12:16:03.179424,14.91261201,0.0132134,74.0109,69.6283,264.7053,93.9041,0,U,33931,999,82831,5.9395E-03,7.0511E-04,0
COSMOS 2251 DEB,1993-036EM,2024-10-09T13:27:08.992800,14.36759812,0.0037336,74.0372,26.4073,211.6755,148.2153,0,U,33932,999,81829,2.1114E-03,6.258E-05,0
COSMOS 2251 DEB,1993-036EN,2024-10-08T23:55:59.134080,14.32049866,0.0074322,74.0886,122.6604,242.1038,117.2573,0,U,33933,999,81629,1.2897E-03,3.547E-05,0
COSMOS 2251 DEB,1993-036EP,2024-10-09T03:39:47.077344,14.53703841,0.0015477,74.0409,196.0185,63.6109,296.6640,0,U,33934,999,82483,4.7687E-03,2.004E-04,0
COSMOS 2251 DEB,1993-036EQ,2024-10-09T09:07:27.788736,15.18364997,0.0017269,73.9883,274.0621,202.6534,157.3903,0,U,33935,999,83327,1.7324E-02,3.761E-03,0
COSMOS 2251 DEB,1993-036ER,2024-10-09T14:01:51.077280,14.55443945,0.002907,74.0185,134.9875,33.3164,326.9821,0,U,33936,999,82634,2.0657E-03,9.016E-05,0
COSMOS 2251 DEB,1993-036ET,2024-10-09T10:45:19.244160,14.44112342,0.0014656,74.0466,287.2679,117.9774,3.4735,0,U,33938,999,82196,2.4059E-03,8.237E-05,0
COSMOS 2251 DEB,1993-036EU,2024-10-09T11:44:26.975904,14.67611559,0.0006812,74.0196,212.4213,1.8796,358.2397,0,U,33939,999,82386,8.7665E-03,5.0176E-04,0
COSMOS 2251 DEB,1993-036EV,2024-10-08T23:29:18.993984,14.52528884,0.0011045,74.0424,238.3212,55.9218,6.9842,0,U,33940,999,82338,4.5358E-03,1.857E-04,0
COSMOS 2251 DEB,1993-036EX,2024-10-09T13:55:17.538240,14.36966659,0.0020204,74.0391,344.6717,180.1956,303.3786,0,U,33942,999,81967,8.7626E-04,2.577E-05,0
COSMOS 2251 DEB,1993-036EZ,2024-10-09T13:14:41.292384,14.35984929,0.0116213,74.0439,17.8082,223.7495,147.6540,0,U,33944,999,81864,1.5275E-03,4.767E-05,0
